City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,bonthe,7.5264,-12.505,30.32000000000005,67,59,3.29,SL,1684760707
159,port elizabeth,-33.918,25.5701,18.939999999999998,64,20,4.63,ZA,1684760419
160,puerto santa,-8.9906,-78.6456,21.810000000000002,83,59,2.5,PE,1684760709
161,ulety,51.3572,112.4849,12.260000000000048,39,16,1.27,RU,1684760709
162,caleta de carquin,-11.0925,-77.6267,21.379999999999995,82,91,2.89,PE,1684760710
163,udachny,66.4167,112.4,0.9700000000000273,73,98,2.58,RU,1684760509
164,geraldton,-28.7667,114.6,15.230000000000018,72,99,1.54,AU,1684760560
165,labuan,5.2767,115.2417,26.200000000000045,83,20,0.0,MY,1684760712
166,saipan,15.1355,145.701,28.390000000000043,100,75,6.69,MP,1684760713
167,alice springs,-23.7,133.8833,8.75,71,0,3.45,AU,1684760558
168,minas de marcona,-15.2119,-75.1103,14.379999999999995,81,61,4.49,PE,1684760714
169,panaba,21.2833,-88.2667,26.310000000000002,74,0,0.7,MX,1684760715
170,tame,6.461,-71.73,23.090000000000032,91,100,2.04,CO,1684760716
171,hamilton,39.1834,-84.5333,20.140000000000043,75,0,0.45,US,1684760566
172,narasannapeta,18.4167,84.05,25.090000000000032,78,95,5.19,IN,1684760718
173,fale old settlement,-9.3852,-171.2468,28.53000000000003,75,76,3.85,TK,1684760719
174,urangan,-25.3,152.9,18.689999999999998,72,0,5.47,AU,1684760719
175,saint-joseph,-21.3667,55.6167,26.370000000000005,73,6,1.9,RE,1684760720
176,carnarvon,-24.8667,113.6333,22.03000000000003,58,22,3.46,AU,1684760721
177,kupang,-10.1667,123.5833,25.110000000000014,72,3,6.48,ID,1684760721
178,north madison,38.7678,-85.3966,19.060000000000002,65,0,0.45,US,1684760722
179,tidjikja,18.5564,-11.4271,36.55000000000001,11,30,3.56,MR,1684760723
180,noosa heads,-26.3833,153.15,13.520000000000039,72,2,3.85,AU,1684760723
181,portland,45.5234,-122.6762,12.670000000000016,73,100,0.89,US,1684760717
182,margaret river,-33.95,115.0667,17.24000000000001,83,100,3.01,AU,1684760725
183,walvis bay,-22.9575,14.5053,14.490000000000009,60,24,4.16,NA,1684760725
184,puerto deseado,-47.7503,-65.8938,4.110000000000014,55,0,5.18,AR,1684760509
185,inhambane,-23.865,35.3833,23.54000000000002,65,90,7.03,MZ,1684760727
186,torrington,41.8007,-73.1212,18.33000000000004,77,0,1.79,US,1684760706
187,tabua,40.3327,-8.0141,25.49000000000001,44,95,0.45,PT,1684760728
188,selfoss,63.9331,-20.9971,7.800000000000011,60,100,8.69,IS,1684760734
189,lihue,21.9789,-159.3672,23.77000000000004,86,75,5.66,US,1684760441
190,kismayo,-0.3582,42.5454,28.970000000000027,70,93,5.13,SO,1684760735
191,seminole,28.7086,-81.2081,28.05000000000001,86,75,2.06,US,1684760735
192,tete,-16.1564,33.5867,34.710000000000036,26,0,2.3,MZ,1684760736
193,fortuna,40.5982,-124.1573,10.75,94,100,3.09,US,1684760738
194,rasskazovo,52.6714,41.9033,22.03000000000003,51,100,5.36,RU,1684760738
195,badger,64.8,-147.5333,9.730000000000018,79,100,4.12,US,1684760739
196,petal,31.3466,-89.2601,21.58000000000004,81,0,2.06,US,1684760739
197,port-vila,-17.7338,168.3219,23.78000000000003,94,100,3.09,VU,1684760478
198,san patricio,28.017,-97.5169,23.910000000000025,87,1,3.04,US,1684760741
199,lazaro cardenas,17.9583,-102.2,27.480000000000018,76,97,1.1,MX,1684760741
200,hammerfest,70.6634,23.6821,15.25,55,20,3.6,NO,1684760742
201,laguna,38.421,-121.4238,17.75,82,0,1.54,US,1684760742
202,mamuju,-2.6748,118.8885,26.350000000000023,85,93,1.5,ID,1684760743
203,taroa,8.7058,171.2275,28.07000000000005,80,100,6.01,MH,1684760743
204,bereznik,62.8551,42.7072,24.30000000000001,26,100,0.39,RU,1684760744
205,polyarnyy,69.1989,33.4478,12.370000000000005,63,100,6.13,RU,1684760573
206,bozeman,45.6796,-111.0386,13.850000000000023,71,20,3.6,US,1684760745
207,yeppoon,-23.1333,150.7333,15.879999999999995,75,0,5.86,AU,1684760745
208,jalgaon jamod,21.0486,76.5344,36.81,21,29,8.43,IN,1684760745
209,la passe,45.5549,-0.8967,24.129999999999995,73,85,3.2,FR,1684760746
210,ribas do rio pardo,-20.4431,-53.7592,22.24000000000001,52,98,2.72,BR,1684760746
211,isafjordur,66.0755,-23.124,5.020000000000039,70,75,5.14,IS,1684760746
212,luderitz,-26.6481,15.1594,20.640000000000043,52,4,3.5,NA,1684760747
213,sungai penuh,-2.0833,101.3833,19.090000000000032,98,100,0.64,ID,1684760747
214,dunedin,-45.8742,170.5036,8.220000000000027,81,46,2.89,NZ,1684760472
215,malpica,43.3228,-8.8105,21.870000000000005,69,18,8.37,ES,1684760748
216,east london,-33.0153,27.9116,18.52000000000004,48,0,4.63,ZA,1684760748
217,yung shue wan,22.2333,114.1167,30.32000000000005,82,51,0.89,HK,1684760749
218,sheohar,26.5167,85.3,37.22000000000003,25,97,6.01,IN,1684760749
219,arta,39.1606,20.9853,24.80000000000001,45,96,2.87,GR,1684760750
220,senanga,-16.1167,23.2667,33.160000000000025,14,100,2.65,ZM,1684760750
221,gadani,25.1185,66.7299,32.120000000000005,81,100,8.27,PK,1684760750
222,oranjemund,-28.55,16.4333,17.689999999999998,60,15,4.14,NA,1684760750
223,puerto baquerizo moreno,-0.9,-89.6,24.860000000000014,81,100,4.83,EC,1684760751
224,port mathurin,-19.6833,63.4167,25.04000000000002,71,43,3.18,MU,1684760479
225,yelizovo,53.1873,158.3805,2.080000000000041,100,75,6.0,RU,1684760751
226,vorkuta,67.5,64.0,10.610000000000014,95,37,2.43,RU,1684760752
227,laranjeiras do sul,-25.4078,-52.4161,14.700000000000045,74,100,1.26,BR,1684760752
228,west vancouver,49.3323,-123.1622,12.660000000000025,93,100,2.57,CA,1684760400
229,evanston,42.0411,-87.6901,20.83000000000004,58,40,0.45,US,1684760728
230,dalnegorsk,44.5604,135.5701,6.670000000000016,95,18,1.46,RU,1684760753
231,mendoza,-32.8908,-68.8272,13.740000000000009,67,40,0.51,AR,1684760753
232,vorgashor,67.5833,63.95,9.480000000000018,96,57,2.87,RU,1684760753
233,bandarbeyla,9.4942,50.8122,29.140000000000043,74,100,6.52,SO,1684760753
234,chibougamau,49.9168,-74.3659,-2.2099999999999795,59,0,1.54,CA,1684760574
235,tofol,5.3248,163.0078,26.480000000000018,88,100,7.17,FM,1684760754
236,sao jose da coroa grande,-8.8978,-35.1478,27.590000000000032,74,17,2.93,BR,1684760754
237,bhanjanagar,19.9333,84.5833,30.590000000000032,44,100,1.76,IN,1684760754
238,ciudad lazaro cardenas,17.9583,-102.2,27.480000000000018,76,97,1.1,MX,1684760755
239,pangody,65.85,74.4859,12.020000000000039,63,34,4.26,RU,1684760756
240,boende,-0.2167,20.8667,22.590000000000032,98,100,3.15,CD,1684760756
241,dzuunmod,48.2199,97.3744,7.75,66,100,2.99,MN,1684760756
242,fort bragg,35.139,-79.006,19.52000000000004,84,0,2.06,US,1684760756
243,beloyarskiy,63.7119,66.6722,19.420000000000016,29,0,1.33,RU,1684760757
244,kanniyakumari,8.0833,77.5667,29.129999999999995,79,17,6.39,IN,1684760757
245,hasaki,35.7333,140.8333,16.230000000000018,90,100,9.29,JP,1684760757
246,bac lieu,9.285,105.7244,29.74000000000001,69,68,4.6,VN,1684760758
247,constantia,44.1833,28.65,20.390000000000043,72,54,5.69,RO,1684760645
248,qala i naw,34.9874,63.1289,30.650000000000034,20,100,6.58,AF,1684760758
249,borogontsy,62.6683,131.1683,0.5300000000000296,72,96,1.95,RU,1684760759
250,loango,-4.6719,11.8312,27.810000000000002,78,75,3.6,CG,1684760759
251,burley,42.5357,-113.7928,14.610000000000014,79,0,2.24,US,1684760759
252,fort william,56.8165,-5.1121,15.170000000000016,58,10,4.93,GB,1684760759
253,cabo san lucas,22.8909,-109.9124,28.170000000000016,22,0,4.63,MX,1684760503
254,alofi,-19.0595,-169.9187,19.939999999999998,94,40,1.54,NU,1684760760
255,saldanha,-33.0117,17.9442,21.03000000000003,55,100,2.1,ZA,1684760760
256,el granada,37.5027,-122.4694,13.910000000000025,92,100,4.12,US,1684760761
257,sirte,31.2089,16.5887,23.180000000000007,48,0,5.45,LY,1684760761
258,kapuskasing,49.4169,-82.4331,2.0500000000000114,69,20,4.12,CA,1684760762
259,lebu,-37.6167,-73.65,9.720000000000027,88,33,4.35,CL,1684760763
260,conceicao do araguaia,-8.2578,-49.2647,28.150000000000034,61,65,2.4,BR,1684760512
261,atafu village,-8.5421,-172.5159,28.370000000000005,77,100,5.13,TK,1684760765
262,awjilah,29.1081,21.2869,31.310000000000002,18,0,4.59,LY,1684760602
263,beyneu,45.3167,55.2,24.660000000000025,40,95,10.12,KZ,1684760766
264,mitu,1.1983,-70.1733,25.52000000000004,88,74,1.04,CO,1684760767
265,kudahuvadhoo,2.6708,72.8944,29.03000000000003,71,9,2.0,MV,1684760767
266,saint-philippe,-21.3585,55.7679,26.77000000000004,73,13,1.79,RE,1684760768
267,camana,-16.6228,-72.7111,19.49000000000001,79,98,3.42,PE,1684760768
268,al jawf,29.5,38.75,37.150000000000034,6,2,6.7,SA,1684760769
269,punta del este,-34.9667,-54.95,19.930000000000007,92,40,2.57,UY,1684760477
270,staryye ozinki,51.1786,49.6769,24.80000000000001,32,100,9.18,RU,1684760771
271,arba minch,6.0333,37.55,27.04000000000002,56,100,1.7,ET,1684760771
272,capilla de guadalupe,20.8333,-102.5833,17.350000000000023,57,51,0.99,MX,1684760772
273,hadithah,34.1397,42.3781,35.48000000000002,17,7,4.83,IQ,1684760772
274,ust-nera,64.5667,143.2,2.3799999999999955,97,100,1.97,RU,1684760773
275,banlung,13.7468,107.0045,27.129999999999995,66,100,1.88,KH,1684760774
276,filingue,14.3521,3.3168,40.47000000000003,26,76,4.0,NE,1684760776
277,gourdon,44.75,1.5,21.730000000000018,61,20,1.95,FR,1684760776
278,morehead city,34.7229,-76.726,21.0,82,0,4.12,US,1684760778
279,saudarkrokur,65.7461,-19.6394,6.900000000000034,54,62,9.29,IS,1684760500
280,kalianget,-7.05,113.9333,26.760000000000048,77,21,4.1,ID,1684760779
281,guiuan,11.0333,125.7247,29.640000000000043,66,2,0.63,PH,1684760780
282,moa,20.6569,-74.9403,26.600000000000023,74,2,1.76,CU,1684760780
283,magalia,39.8121,-121.5783,15.080000000000041,59,63,2.46,US,1684760781
284,mizdah,31.4451,12.9801,27.439999999999998,16,0,1.72,LY,1684760781
285,tarija,-21.5355,-64.7296,5.9500000000000455,70,0,0.0,BO,1684760782
286,hede,33.7681,120.2517,15.629999999999995,56,100,1.06,CN,1684760783
287,crucecita,-28.95,-58.9833,18.54000000000002,93,100,3.2,AR,1684760783
288,haiku-pauwela,20.9219,-156.3051,23.360000000000014,77,0,6.17,US,1684760784
289,muynoq,43.7683,59.0214,22.05000000000001,51,100,8.65,UZ,1684760785
290,hirara,24.8,125.2833,27.150000000000034,94,75,5.14,JP,1684760785
291,motygino,58.1831,94.7592,11.939999999999998,82,99,1.2,RU,1684760786
292,povarovo,56.0667,37.05,17.79000000000002,93,100,1.07,RU,1684760787
293,canto del llano,8.1761,-80.973,25.74000000000001,83,96,0.44,PA,1684760788
294,kodinar,20.7903,70.7031,30.110000000000014,66,0,6.69,IN,1684760789
295,puerto lempira,15.2667,-83.7667,26.08000000000004,83,20,4.12,HN,1684760791
296,naliya,23.2667,68.8333,30.370000000000005,67,100,8.46,IN,1684760792
297,ambovombe,-25.1667,46.0833,25.25,47,5,6.16,MG,1684760792
298,kaa-khem,51.6833,94.7333,16.420000000000016,42,100,3.88,RU,1684760793
299,castillos,-34.1667,-53.8333,17.82000000000005,89,91,2.27,UY,1684760793
300,rauma,61.1272,21.5113,20.02000000000004,54,100,4.07,FI,1684760794
301,ad-damazin,11.7891,34.3592,39.34000000000003,12,0,0.44,SD,1684760794
302,pilar,-9.5972,-35.9567,24.960000000000036,83,33,2.61,BR,1684760795
303,punta arenas,-53.15,-70.9167,0.010000000000047748,86,40,2.06,CL,1684760796
304,klaksvik,62.2266,-6.589,9.510000000000048,66,11,9.9,FO,1684760797
305,maridi,4.9158,29.4742,34.610000000000014,31,98,1.7,SS,1684760797
306,vel'sk,61.0701,42.0983,22.470000000000027,40,79,1.98,RU,1684760798
307,mesolongi,38.3702,21.4295,23.29000000000002,66,99,1.41,GR,1684760799
308,nemuro,43.3236,145.575,7.57000000000005,94,100,4.33,JP,1684760799
309,tyukhtet,56.5389,89.3011,16.04000000000002,38,97,4.74,RU,1684760800
310,moree,-29.4667,149.85,11.010000000000048,47,0,2.94,AU,1684760787
311,huarmey,-10.0681,-78.1522,22.05000000000001,81,69,2.58,PE,1684760802
312,bam,29.106,58.357,27.52000000000004,35,100,7.32,IR,1684760803
313,pisco,-13.7,-76.2167,21.03000000000003,73,100,3.09,PE,1684760803
314,betio village,1.358,172.9211,26.02000000000004,75,71,2.81,KI,1684760804
315,mariinsk,56.2139,87.7472,16.629999999999995,36,24,4.38,RU,1684760524
316,sisimiut,66.9395,-53.6735,-0.2799999999999727,60,5,3.23,GL,1684760805
317,puerto rosario,-24.45,-57.0833,20.600000000000023,89,84,1.93,PY,1684760805
318,bozyazi,36.1082,32.9611,24.879999999999995,57,27,3.25,TR,1684760805
319,ampanihy,-24.7,44.75,24.460000000000036,42,5,5.64,MG,1684760806
320,acapulco de juarez,16.8634,-99.8901,27.620000000000005,77,44,0.67,MX,1684760590
321,opuwo,-18.0607,13.84,30.879999999999995,14,0,2.0,NA,1684760807
